feature,shap_mean_abs,rf_importance,xgb_gain_importance,shap_rank,rf_rank,xgb_gain_rank,shap_importance_norm,rf_importance_norm,xgb_gain_importance_norm
ST_Slope_Up,1.0220679,0.15010826527916638,47.01234436035156,1,1,1,0.19474244,0.15010826527916638,0.4637396842491954
Cholesterol,0.5592818,0.10449224675333851,3.161463737487793,2,5,8,0.10656426,0.10449224675333851,0.031185345366956864
ChestPainType_NAP,0.51114637,0.028888936211999252,4.334710597991943,3,10,6,0.09739264,0.028888936211999252,0.04275849995091358
ExerciseAngina_Y,0.4296319,0.08904839403595469,10.693482398986816,4,6,2,0.081861064,0.08904839403595469,0.10548276667973831
ST_Slope_Flat,0.4153222,0.123216055293842,9.158653259277344,5,2,3,0.07913453,0.123216055293842,0.09034288820080826
Sex_M,0.40646523,0.03253612929733619,4.8286614418029785,6,9,4,0.077446945,0.03253612929733619,0.04763093529657011
Oldpeak,0.3827312,0.11664169163130579,3.1990342140197754,7,4,7,0.07292471,0.11664169163130579,0.031555948474738214
ChestPainType_ATA,0.33930385,0.027500176278002702,4.435578346252441,8,11,5,0.06465017,0.027500176278002702,0.04375348070257974
MaxHR,0.31200418,0.11851362888636663,2.523498296737671,9,3,10,0.05944855,0.11851362888636663,0.02489231965039913
FastingBS,0.2298213,0.025858219604985567,2.958189010620117,10,12,9,0.043789614,0.025858219604985567,0.02918020057071143
RestingBP,0.2227097,0.06897996162738215,1.914522647857666,11,8,13,0.042434588,0.06897996162738215,0.018885255357616634
Age,0.16173089,0.07758293163883931,1.9664100408554077,12,7,12,0.030815827,0.07758293163883931,0.019397083550247246
RestingECG_Normal,0.12159689,0.015823826966549378,1.641284704208374,13,13,14,0.02316879,0.015823826966549378,0.01618997862898607
ChestPainType_TA,0.105509445,0.010188313101051727,2.095095634460449,14,15,11,0.020103525,0.010188313101051727,0.020666465397882805
RestingECG_ST,0.028982792,0.010621223393879855,1.4536538124084473,15,14,15,0.005522314,0.010621223393879855,0.014339147922656188
